timestamp,P1,P2,P3,P4,P5,P6,Ax,Ay,Az,Gx,Gy,Gz,activity
0.0,115,0,26,31,0,0,0.096,0.3154,0.9879,27.71,-15.54,22.35,Walking
0.02,376,0,0,0,0,12,0.0289,0.4559,1.1078,28.17,24.89,12.66,Walking
0.04,774,32,14,0,0,32,0.1092,0.4095,1.2369,29.67,39.46,13.2,Walking
0.06,1455,35,22,12,0,0,0.1305,0.5181,1.6091,29.99,55.18,6.86,Walking
0.08,2153,0,0,6,4,0,0.1235,0.4955,1.6257,33.86,97.39,3.97,Walking
0.1,2710,72,0,0,42,0,0.3631,0.5838,1.536,29.34,93.22,2.17,Walking
0.12,2821,84,13,19,21,0,0.3061,0.5483,1.6836,23.55,114.37,1.58,Walking
0.14,2388,180,65,12,32,1,0.2427,0.6614,1.7084,15.5,131.39,-14.32,Walking
0.16,1659,360,88,0,6,11,0.1834,0.6172,1.6203,19.06,148.77,-17.24,Walking
0.18,954,584,289,15,0,0,0.2231,0.4238,1.6275,25.53,177.71,-20.16,Walking
0.2,477,904,457,0,61,0,0.2743,0.5269,1.664,12.96,154.11,-27.91,Walking
0.22,185,1193,682,1,15,26,0.189,0.4989,1.4244,10.81,170.37,-28.38,Walking
0.24,58,1297,919,0,0,21,0.3435,0.4177,1.3388,-2.04,167.8,-23.25,Walking
0.26,32,1316,1088,82,40,0,0.2237,0.4452,1.1457,5.63,192.25,-43.46,Walking
0.28,13,1132,1102,94,58,0,0.2777,0.4295,1.0523,11.06,168.5,-27.18,Walking
0.3,0,873,979,345,115,0,0.2558,0.3662,0.88,-15.48,180.06,-42.43,Walking
0.32,0,551,719,545,324,46,0.3368,0.367,0.8715,-9.29,180.29,-34.28,Walking
0.34,17,334,481,911,586,11,0.3508,0.2181,0.6764,-11.06,167.93,-44.48,Walking
0.36,0,156,292,1361,1059,0,0.4561,0.0754,0.5531,-10.96,178.28,-48.31,Walking
0.38,0,43,127,1913,1569,38,0.2273,0.2864,0.4374,-6.63,166.02,-38.14,Walking
0.4,67,36,47,2343,2170,57,0.1838,0.0822,0.2812,-26.6,163.32,-42.22,Walking
0.42,64,8,14,2554,2721,0,0.2363,0.1284,0.2627,-25.26,126.5,-43.2,Walking
0.44,0,0,7,2657,3084,73,0.1559,-0.1569,0.398,-30.89,113.61,-38.93,Walking
0.46,0,32,12,2392,3167,153,0.1821,-0.2576,0.4837,-23.36,113.68,-34.6,Walking
0.48,26,0,29,1924,2894,456,0.0709,-0.2461,0.4567,-32.26,85.29,-31.25,Walking
0.5,58,18,0,1444,2331,875,0.1219,-0.188,0.5994,-26.75,49.29,-29.37,Walking
