timestamp,P1,P2,P3,P4,P5,P6,Ax,Ay,Az,Gx,Gy,Gz,activity
0.0,964,283,223,389,460,166,0.0226,-0.0068,0.9469,1.86,-2.05,-0.02,Standing
0.02,1034,266,216,408,433,181,0.0215,0.0536,1.0198,-0.99,1.07,0.96,Standing
0.04,1005,296,204,374,426,175,0.0459,-0.0215,1.0437,-1.0,-0.2,0.32,Standing
0.06,1010,275,196,378,400,208,0.0774,0.0243,0.9608,-0.07,0.62,0.92,Standing
0.08,1002,253,222,398,428,158,0.0224,0.0757,1.0097,-0.29,1.58,0.25,Standing
0.1,1019,292,202,377,400,176,0.033,-0.0213,0.9452,-1.06,-2.92,-0.08,Standing
0.12,1019,267,200,348,430,176,0.0045,-0.0086,0.9763,-0.62,-2.49,-0.92,Standing
0.14,997,270,195,382,456,146,-0.0292,0.0255,0.9841,-2.35,-0.85,-0.15,Standing
0.16,972,291,213,358,431,166,0.0141,0.0016,0.9677,-1.42,0.64,-1.77,Standing
0.18,976,266,211,370,435,187,0.0103,0.0315,0.9737,-0.07,-0.53,-0.04,Standing
0.2,1045,286,197,372,453,150,0.0211,-0.0049,0.955,-1.18,0.24,-0.24,Standing
0.22,1052,264,226,387,394,180,0.0453,-0.0497,0.9788,0.72,-0.46,-1.84,Standing
0.24,1023,298,212,372,402,154,0.0509,0.0666,1.0203,-0.97,1.75,-1.26,Standing
0.26,1007,300,202,353,396,158,0.0352,-0.0293,1.0109,0.6,-0.68,-0.57,Standing
0.28,1061,316,205,373,378,149,0.0084,0.0272,1.0134,0.37,-0.04,-0.55,Standing
0.3,1093,287,200,345,401,157,0.0441,-0.0447,0.9934,0.58,0.82,-0.09,Standing
0.32,1055,291,192,324,361,163,0.0079,0.0055,0.9244,0.69,-2.05,1.17,Standing
0.34,1044,277,226,341,418,160,-0.014,0.0319,1.0089,-1.9,-0.45,-0.93,Standing
0.36,1062,300,204,365,419,144,0.0694,0.0057,0.9362,0.3,0.62,-0.15,Standing
0.38,1051,326,186,413,420,150,0.0223,0.0327,1.0012,0.73,-1.87,2.2,Standing
0.4,1048,313,218,369,405,136,0.0403,-0.0344,1.0145,-0.99,-1.52,-0.03,Standing
0.42,1045,312,187,357,371,169,0.0022,0.0773,1.0342,1.45,-0.81,-0.84,Standing
0.44,998,308,178,354,388,151,0.0151,0.0255,1.079,-0.67,-0.86,1.34,Standing
0.46,995,304,167,348,380,168,0.0435,0.0221,1.0305,-1.01,-1.82,0.04,Standing
0.48,1035,273,190,335,380,163,-0.0039,0.0485,1.0786,-0.82,-0.3,0.19,Standing
